16	10	12	39	47	7
35	1	42	36	41	22
6	34	20	26	12	33
2	13	4	22	12	36
18	27	1	11	16	3
23	4	21	22	3	7
41	9	43	49	3	35
10	44	19	17	42	11
42	41	10	25	34	22
42	24	28	25	33	10
26	13	11	38	27	6
16	15	37	19	2	24
25	3	20	22	23	38
32	18	15	28	2	3
46	41	24	4	8	21
29	41	4	36	28	19
35	17	48	2	43	5
24	19	47	15	3	40
27	45	8	6	11	21
35	14	45	28	47	20
19	30	17	18	4	31
42	12	34	9	28	6
28	8	7	15	24	19
23	19	38	25	15	32
49	17	7	33	32	41
41	23	43	11	15	38
39	8	5	44	10	27
34	10	31	19	25	48
14	16	9	26	30	37
1	44	28	12	18	43
6	11	48	39	25	4
3	41	20	44	11	6
45	15	7	20	43	42
43	45	16	18	5	8
42	38	49	37	5	28
39	26	36	43	48	46
18	4	43	48	7	15
30	24	47	34	20	45
17	34	9	20	49	2
41	13	40	48	12	25
42	7	21	30	28	35
28	3	47	49	5	19
16	27	48	49	30	31
45	9	22	11	38	28
45	3	49	31	32	22
11	28	2	4	6	36
14	12	37	30	13	21
2	12	39	11	21	31
45	34	12	25	23	44
40	47	10	34	28	6
40	7	21	30	39	11
30	24	4	31	6	20
38	29	46	8	44	27
23	33	11	29	27	35
37	1	44	14	18	33
5	3	22	30	33	32
7	44	40	28	19	2
6	47	37	41	43	22
43	7	49	22	16	44
15	29	22	47	39	46
14	34	19	20	47	27
29	25	20	22	24	42
30	12	1	27	47	49
36	22	46	38	9	13
22	10	26	29	18	24
17	49	46	4	25	47
14	34	5	44	26	40
24	5	20	42	38	44
25	49	15	42	38	40
26	43	27	21	1	19
25	13	47	16	1	34
37	38	6	44	43	16
40	11	12	2	4	21
38	47	48	35	9	39
38	40	30	14	8	32
27	30	24	23	39	26
2	16	35	27	47	17
3	46	24	15	26	16
20	36	19	1	33	8
30	7	26	17	25	40
11	40	49	13	47	15
19	45	43	10	44	9
48	16	31	26	29	3
3	47	24	45	1	13
33	34	21	35	45	44
25	44	23	32	45	31
36	47	44	28	35	43
20	48	1	33	2	21
8	29	17	22	16	27
13	12	21	19	36	14
37	14	24	43	10	46
11	45	6	35	32	47
3	27	28	8	5	1
42	40	4	30	46	35
26	25	9	36	10	23
7	41	36	19	29	11
8	14	3	12	48	13
37	3	5	31	23	35
12	18	39	38	40	16
26	17	38	9	2	4
25	46	38	22	20	18
8	36	11	42	31	27
27	23	6	45	15	39
17	25	45	3	2	32
14	23	18	32	34	43
33	31	26	18	34	38
22	20	17	38	5	10
17	36	34	30	14	39
25	9	15	4	20	37
40	33	2	48	13	31
3	16	5	36	46	30
49	8	13	3	43	27
31	26	10	20	41	9
27	49	40	14	11	41
43	42	13	23	10	14
16	39	4	3	28	26
31	12	8	7	17	48
43	23	42	17	45	10
4	41	29	35	30	38
47	46	33	24	7	27
21	4	32	9	2	48
43	29	20	1	13	24
36	48	25	13	39	7
